Date/Time,Unit,Value
24.11.23 06:54:00,C,6
24.11.23 07:54:00,C,6
24.11.23 08:54:00,C,6
24.11.23 09:54:00,C,7
24.11.23 10:54:00,C,7
24.11.23 11:54:00,C,7
24.11.23 12:54:00,C,7
24.11.23 13:54:00,C,7
24.11.23 14:54:00,C,7
24.11.23 15:54:00,C,5
24.11.23 16:54:00,C,5
24.11.23 17:54:00,C,4
24.11.23 18:54:00,C,3
24.11.23 19:54:00,C,3
24.11.23 20:54:00,C,3
24.11.23 21:54:00,C,3
24.11.23 22:54:00,C,3
24.11.23 23:54:00,C,3
25.11.23 00:54:00,C,3
25.11.23 01:54:00,C,2
25.11.23 02:54:00,C,2
25.11.23 03:54:00,C,2
25.11.23 04:54:00,C,2
25.11.23 05:54:00,C,1
25.11.23 06:54:00,C,1
25.11.23 07:54:00,C,1
25.11.23 08:54:00,C,1
25.11.23 09:54:00,C,2
25.11.23 10:54:00,C,3
25.11.23 11:54:00,C,4
25.11.23 12:54:00,C,4
25.11.23 13:54:00,C,4
25.11.23 14:54:00,C,4
25.11.23 15:54:00,C,4
25.11.23 16:54:00,C,4
25.11.23 17:54:00,C,4
25.11.23 18:54:00,C,4
25.11.23 19:54:00,C,4
25.11.23 20:54:00,C,3
25.11.23 21:54:00,C,4
25.11.23 22:54:00,C,4
25.11.23 23:54:00,C,4
26.11.23 00:54:00,C,3
26.11.23 01:54:00,C,3
26.11.23 02:54:00,C,3
26.11.23 03:54:00,C,3
26.11.23 04:54:00,C,2
26.11.23 05:54:00,C,2
26.11.23 06:54:00,C,2
26.11.23 07:54:00,C,2
26.11.23 08:54:00,C,2
26.11.23 09:54:00,C,3
26.11.23 10:54:00,C,5
26.11.23 11:54:00,C,5
26.11.23 12:54:00,C,6
26.11.23 13:54:00,C,6
26.11.23 14:54:00,C,5
26.11.23 15:54:00,C,5
26.11.23 16:54:00,C,4
26.11.23 17:54:00,C,4
26.11.23 18:54:00,C,4
26.11.23 19:54:00,C,4
26.11.23 20:54:00,C,4
26.11.23 21:54:00,C,4
26.11.23 22:54:00,C,3
26.11.23 23:54:00,C,3
27.11.23 00:54:00,C,3
27.11.23 01:54:00,C,3
27.11.23 02:54:00,C,3
27.11.23 03:54:00,C,3
27.11.23 04:54:00,C,3
27.11.23 05:54:00,C,3
27.11.23 06:54:00,C,3
27.11.23 07:54:00,C,3
27.11.23 08:54:00,C,3
27.11.23 09:54:00,C,4
27.11.23 10:54:00,C,4
27.11.23 11:54:00,C,4
27.11.23 12:54:00,C,4
27.11.23 13:54:00,C,4
27.11.23 14:54:00,C,3
27.11.23 15:54:00,C,3
27.11.23 16:54:00,C,2
27.11.23 17:54:00,C,2
27.11.23 18:54:00,C,3
27.11.23 19:54:00,C,3
27.11.23 20:54:00,C,3
27.11.23 21:54:00,C,3
27.11.23 22:54:00,C,3
27.11.23 23:54:00,C,3
28.11.23 00:54:00,C,3
28.11.23 01:54:00,C,3
28.11.23 02:54:00,C,3
28.11.23 03:54:00,C,3
28.11.23 04:54:00,C,4
28.11.23 05:54:00,C,4
28.11.23 06:54:00,C,3
28.11.23 07:54:00,C,3
28.11.23 08:54:00,C,3
28.11.23 09:54:00,C,3
28.11.23 10:54:00,C,3
28.11.23 11:54:00,C,3
28.11.23 12:54:00,C,3
28.11.23 13:54:00,C,3
28.11.23 14:54:00,C,3
28.11.23 15:54:00,C,3
28.11.23 16:54:00,C,3
28.11.23 17:54:00,C,2
28.11.23 18:54:00,C,2
28.11.23 19:54:00,C,2
28.11.23 20:54:00,C,2
28.11.23 21:54:00,C,2
28.11.23 22:54:00,C,1
28.11.23 23:54:00,C,1
29.11.23 00:54:00,C,0
29.11.23 01:54:00,C,0
29.11.23 02:54:00,C,0
29.11.23 03:54:00,C,0
29.11.23 04:54:00,C,0
29.11.23 05:54:00,C,0
29.11.23 06:54:00,C,0
29.11.23 07:54:00,C,0
29.11.23 08:54:00,C,0
29.11.23 09:54:00,C,0
29.11.23 10:54:00,C,0
29.11.23 11:54:00,C,1
29.11.23 12:54:00,C,1
29.11.23 13:54:00,C,1
29.11.23 14:54:00,C,1
29.11.23 15:54:00,C,2
29.11.23 16:54:00,C,2
29.11.23 17:54:00,C,2
29.11.23 18:54:00,C,2
29.11.23 19:54:00,C,1
29.11.23 20:54:00,C,1
29.11.23 21:54:00,C,1
29.11.23 22:54:00,C,1
29.11.23 23:54:00,C,0
30.11.23 00:54:00,C,1
30.11.23 01:54:00,C,0
30.11.23 02:54:00,C,0
